prompt_postfix,prompt_prefix,prompt_placement,prompt_length,device,latency_visual_width,latency_visual_length,latency_batch_size,timed_iters,warmup_iters,throughput_videos_per_s,latency_median_ms,latency_std_ms,latency_mean_ms,sweep_type,attn_window,prompt_template,fusion_auc,fusion_ap,alpha,experiment,ablation_type,variant,seed,checkpoint,branch1_auc,branch1_ap,branch2_auc,branch2_ap,mAP@0.1,mAP@0.2,mAP@0.3,mAP@0.4,mAP@0.5,average_mAP,seed_count,seeds,branch1_auc_mean,branch1_auc_std,branch1_auc_variance,branch1_auc_ci95_low,branch1_auc_ci95_high,branch1_auc_ci95_half_width,branch1_ap_mean,branch1_ap_std,branch1_ap_variance,branch1_ap_ci95_low,branch1_ap_ci95_high,branch1_ap_ci95_half_width,branch2_auc_mean,branch2_auc_std,branch2_auc_variance,branch2_auc_ci95_low,branch2_auc_ci95_high,branch2_auc_ci95_half_width,branch2_ap_mean,branch2_ap_std,branch2_ap_variance,branch2_ap_ci95_low,branch2_ap_ci95_high,branch2_ap_ci95_half_width,mAP@0.1_mean,mAP@0.1_std,mAP@0.1_variance,mAP@0.1_ci95_low,mAP@0.1_ci95_high,mAP@0.1_ci95_half_width,mAP@0.2_mean,mAP@0.2_std,mAP@0.2_variance,mAP@0.2_ci95_low,mAP@0.2_ci95_high,mAP@0.2_ci95_half_width,mAP@0.3_mean,mAP@0.3_std,mAP@0.3_variance,mAP@0.3_ci95_low,mAP@0.3_ci95_high,mAP@0.3_ci95_half_width,mAP@0.4_mean,mAP@0.4_std,mAP@0.4_variance,mAP@0.4_ci95_low,mAP@0.4_ci95_high,mAP@0.4_ci95_half_width,mAP@0.5_mean,mAP@0.5_std,mAP@0.5_variance,mAP@0.5_ci95_low,mAP@0.5_ci95_high,mAP@0.5_ci95_half_width,average_mAP_mean,average_mAP_std,average_mAP_variance,average_mAP_ci95_low,average_mAP_ci95_high,average_mAP_ci95_half_width
,,,,cuda,512,256,1,100,10,113.32602000278133,8.63375997543335,1.0712492120215706,8.824098825454712,,,,,,,xd_ablation,adapter_latency,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,130.42389156592563,7.475552082061768,0.5572228335188626,7.667306871414184,,,,,,,xd_ablation,adapter_latency,global_tf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,111.42047032588859,8.247711658477783,2.4588399810321975,8.975011477470398,,,,,,,xd_ablation,adapter_latency,local_tf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,106.55035726826829,8.421311855316162,2.3342975521410656,9.385233664512635,,,,,,,xd_ablation,adapter_latency,only_gcn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,122.92983193631946,7.875584125518799,0.7344646730741474,8.134721932411194,,,,,,,xd_ablation,adapter_latency,local_global_tf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,108.38716449696528,8.686511993408203,1.7773349313840132,9.226184711456298,,,,,,,xd_ablation,adapter_latency,global_tf_gcn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,105.82635541105114,9.09985637664795,0.9857776831307943,9.449441928863525,,,,,,,xd_ablation,adapter_latency,lgt_adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_baseline,,,,,0.9379291706616495,0.796256752252144,0.9478094978966242,0.8479841285731246,35.341729298378596,29.19496887741195,22.068850367832425,16.49761950350997,12.716411110392176,23.163915831505022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_baseline,,,,,0.9390886368875115,0.8030852904160202,0.9468126586913237,0.8450451936038323,37.011058221323545,30.820694031528657,23.382931312738712,17.92128132673955,14.34077216733271,24.695347411932637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_ablation,adapter_eval,baseline,,experiment\results\checkpoints\xd_adapter_baseline.pth,0.8956826029099154,0.7255024081422248,0.9145349397740521,0.7390754384321583,27.559162096406087,21.090900348467162,14.751883785434899,9.90679581974797,6.115895897750235,15.884927589561268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
